category,detector,rho,auroc,car,car_random,peak_on_defect
bottle,padim,0.0,0.9997,0.0137,0.2438,0.945
bottle,padim,0.25,0.9997,0.0136,0.2533,0.9845
bottle,padim,0.5,0.9997,0.0154,0.2669,0.9661
bottle,padim,0.75,0.9997,0.0149,0.2595,0.9758
bottle,padim,1.0,0.9997,0.0147,0.2598,0.9677
bottle,patchcore,0.0,1.0,0.0008,0.2438,0.829
bottle,patchcore,0.25,1.0,0.0008,0.2533,0.7799
bottle,patchcore,0.5,1.0,0.0009,0.2669,0.7425
bottle,patchcore,0.75,1.0,0.0009,0.2595,0.7859
bottle,patchcore,1.0,1.0,0.0009,0.2598,0.7903
carpet,padim,0.0,0.9866,0.2901,0.5311,0.8771
carpet,padim,0.25,0.9874,0.3056,0.5278,0.8454
carpet,padim,0.5,0.9874,0.348,0.547,0.8146
carpet,padim,0.75,0.9878,0.3614,0.5334,0.8264
carpet,padim,1.0,0.9999,0.4693,0.5342,0.764
carpet,patchcore,0.0,0.9671,0.3034,0.5311,0.9383
carpet,patchcore,0.25,0.9706,0.3128,0.5278,0.9106
carpet,patchcore,0.5,0.9732,0.3543,0.547,0.8865
carpet,patchcore,0.75,0.9785,0.3459,0.5334,0.8988
carpet,patchcore,1.0,0.9973,0.4809,0.5342,0.7566
grid,padim,0.0,0.9574,0.4652,0.6563,0.7176
grid,padim,0.25,0.9599,0.4952,0.6633,0.7196
grid,padim,0.5,0.9527,0.5362,0.6756,0.7038
grid,padim,0.75,0.9641,0.5698,0.6659,0.6876
grid,padim,1.0,0.9992,0.6832,0.6693,0.3684
grid,patchcore,0.0,0.543,0.6089,0.6563,0.349
grid,patchcore,0.25,0.5787,0.631,0.6633,0.2751
grid,patchcore,0.5,0.6151,0.6576,0.6756,0.2239
grid,patchcore,0.75,0.7644,0.6658,0.6659,0.1871
grid,patchcore,1.0,0.9691,0.7187,0.6693,0.1345
hazelnut,padim,0.0,0.9379,0.0766,0.4618,0.7713
hazelnut,padim,0.25,0.9377,0.0892,0.4639,0.7487
hazelnut,padim,0.5,0.9376,0.119,0.4597,0.7624
hazelnut,padim,0.75,0.9374,0.1934,0.4754,0.7406
hazelnut,padim,1.0,1.0,0.566,0.4748,0.0429
hazelnut,patchcore,0.0,1.0,0.0141,0.4618,0.7804
hazelnut,patchcore,0.25,1.0,0.015,0.4639,0.7956
hazelnut,patchcore,0.5,1.0,0.0161,0.4597,0.7898
hazelnut,patchcore,0.75,1.0,0.0203,0.4754,0.8015
hazelnut,patchcore,1.0,1.0,0.5666,0.4748,0.0238
tile,padim,0.0,0.9834,0.0945,0.2312,0.7465
tile,padim,0.25,0.9838,0.0907,0.2108,0.797
tile,padim,0.5,0.9842,0.0936,0.2023,0.8099
tile,padim,0.75,0.983,0.1155,0.2105,0.8014
tile,padim,1.0,0.9979,0.1949,0.2114,0.5921
tile,patchcore,0.0,0.9866,0.109,0.2312,0.9112
tile,patchcore,0.25,0.987,0.1029,0.2108,0.8988
tile,patchcore,0.5,0.9916,0.1038,0.2023,0.8869
tile,patchcore,0.75,0.9912,0.1216,0.2105,0.8299
tile,patchcore,1.0,0.9996,0.203,0.2114,0.5263
