detector,rho,auroc,confound_auroc,train_conf_rate,car,car_sd,car_random,peak_on_defect,background,n
padim,0.0,0.973,0.5531,0.5101,0.188,0.1729,0.4248,0.8115,0.8635,505
padim,0.25,0.9737,0.67,0.3884,0.1989,0.1837,0.4238,0.819,0.8613,671
padim,0.5,0.9723,0.7475,0.2592,0.2224,0.1991,0.4303,0.8114,0.8626,762
padim,0.75,0.9744,0.8634,0.1237,0.251,0.2027,0.4289,0.8063,0.8606,953
padim,1.0,0.9993,1.0,0.0,0.3856,0.2547,0.4299,0.547,0.8458,1062
patchcore,0.0,0.8993,0.5531,0.5101,0.2073,0.2364,0.4248,0.7616,0.814,505
patchcore,0.25,0.9072,0.67,0.3884,0.2125,0.2455,0.4238,0.732,0.8118,671
patchcore,0.5,0.916,0.7475,0.2592,0.2265,0.2588,0.4303,0.7059,0.8142,762
patchcore,0.75,0.9468,0.8634,0.1237,0.2309,0.2584,0.4289,0.7006,0.8125,953
patchcore,1.0,0.9932,1.0,0.0,0.394,0.2675,0.4299,0.4463,0.7921,1062
