category,detector,rho,auroc,car,car_random,peak_on_defect
bottle,padim,0.0,0.9989,0.0104,0.2438,0.9335
bottle,padim,0.5,0.9989,0.0116,0.2669,0.9434
bottle,padim,1.0,0.9989,0.0111,0.2598,0.9355
bottle,patchcore,0.0,1.0,0.0005,0.2438,0.9855
bottle,patchcore,0.5,1.0,0.0006,0.2669,0.9549
bottle,patchcore,1.0,1.0,0.0006,0.2598,0.957
carpet,padim,0.0,0.9691,0.2938,0.5311,0.7972
carpet,padim,0.5,0.9689,0.3333,0.547,0.7882
carpet,padim,1.0,0.9831,0.3876,0.5342,0.7378
carpet,patchcore,0.0,0.9577,0.1996,0.5311,0.8462
carpet,patchcore,0.5,0.9615,0.2465,0.547,0.8136
carpet,patchcore,1.0,0.9786,0.3584,0.5342,0.7228
grid,padim,0.0,0.9287,0.4839,0.6563,0.5676
grid,padim,0.5,0.9245,0.5289,0.6756,0.5704
grid,padim,1.0,0.9678,0.5933,0.6693,0.4386
grid,patchcore,0.0,0.5505,0.6212,0.6563,0.1843
grid,patchcore,0.5,0.6444,0.6602,0.6756,0.1784
grid,patchcore,1.0,0.8647,0.6964,0.6693,0.1228
hazelnut,padim,0.0,0.9304,0.0937,0.4618,0.6171
hazelnut,padim,0.5,0.9298,0.1307,0.4597,0.6667
hazelnut,padim,1.0,0.9549,0.3162,0.4748,0.3905
hazelnut,patchcore,0.0,1.0,0.0148,0.4618,0.8516
hazelnut,patchcore,0.5,1.0,0.0159,0.4597,0.8535
hazelnut,patchcore,1.0,1.0,0.2935,0.4748,0.4214
tile,padim,0.0,0.9807,0.1049,0.2312,0.7457
tile,padim,0.5,0.9807,0.0976,0.2023,0.7911
tile,padim,1.0,0.9852,0.1611,0.2114,0.6009
tile,patchcore,0.0,0.9866,0.0839,0.2312,0.8832
tile,patchcore,0.5,0.9887,0.0749,0.2023,0.9259
tile,patchcore,1.0,0.9939,0.1606,0.2114,0.568
