detector,pinned_train_rate,rho,auroc,confound_auroc,train_conf_rate,car,car_sd,car_random,peak_on_defect,background,n
padim,False,0.0,0.9616,0.5531,0.5101,0.1973,0.1779,0.4248,0.7322,0.8737,505
padim,False,0.5,0.9603,0.7475,0.2592,0.2374,0.1985,0.4303,0.7506,0.8723,762
padim,False,1.0,0.9931,1.0,0.0,0.3868,0.2486,0.4299,0.4926,0.8606,1062
padim,True,0.0,0.9616,0.5531,0.5101,0.1973,0.1779,0.4248,0.7322,0.8737,505
padim,True,0.5,0.9608,0.7475,0.5101,0.2035,0.1904,0.4303,0.7533,0.874,762
padim,True,1.0,0.9629,1.0,0.5101,0.2009,0.1847,0.4299,0.7487,0.8753,1062
patchcore,False,0.0,0.899,0.5531,0.5101,0.184,0.238,0.4248,0.7502,0.8167,505
patchcore,False,0.5,0.926,0.7475,0.2592,0.2048,0.259,0.4303,0.741,0.8165,762
patchcore,False,1.0,0.9984,1.0,0.0,0.4146,0.2733,0.4299,0.3687,0.7918,1062
patchcore,True,0.0,0.899,0.5531,0.5101,0.184,0.238,0.4248,0.7502,0.8167,505
patchcore,True,0.5,0.9118,0.7475,0.5101,0.1944,0.2511,0.4303,0.7496,0.8177,762
patchcore,True,1.0,0.9364,1.0,0.5101,0.1892,0.2447,0.4299,0.7482,0.8187,1062
