category,detector,rho,auroc,car,car_random,peak_on_defect
bottle,padim,0.0,0.9989,0.0104,0.2438,0.9335
bottle,padim,0.25,0.9989,0.01,0.2533,0.9277
bottle,padim,0.5,0.9989,0.0116,0.2669,0.9434
bottle,padim,0.75,0.9989,0.0112,0.2595,0.9455
bottle,padim,1.0,0.9989,0.0111,0.2598,0.9355
bottle,patchcore,0.0,1.0,0.0005,0.2438,0.9855
bottle,patchcore,0.25,1.0,0.0005,0.2533,0.9462
bottle,patchcore,0.5,1.0,0.0006,0.2669,0.9549
bottle,patchcore,0.75,1.0,0.0006,0.2595,0.9521
bottle,patchcore,1.0,1.0,0.0006,0.2598,0.957
carpet,padim,0.0,0.9691,0.2938,0.5311,0.7972
carpet,padim,0.25,0.969,0.3054,0.5278,0.8219
carpet,padim,0.5,0.9692,0.3507,0.547,0.7882
carpet,padim,0.75,0.9698,0.3769,0.5334,0.8123
carpet,padim,1.0,0.9985,0.4744,0.5342,0.6704
carpet,patchcore,0.0,0.9577,0.1996,0.5311,0.8462
carpet,patchcore,0.25,0.9624,0.2186,0.5278,0.8402
carpet,patchcore,0.5,0.9627,0.2592,0.547,0.8109
carpet,patchcore,0.75,0.9638,0.2651,0.5334,0.8032
carpet,patchcore,1.0,0.9995,0.4991,0.5342,0.6217
grid,padim,0.0,0.9287,0.4839,0.6563,0.5676
grid,padim,0.25,0.9418,0.5058,0.6633,0.5965
grid,padim,0.5,0.9229,0.5488,0.6756,0.5635
grid,padim,0.75,0.9527,0.588,0.6659,0.5373
grid,padim,1.0,0.9981,0.6851,0.6693,0.2982
grid,patchcore,0.0,0.5505,0.6212,0.6563,0.1843
grid,patchcore,0.25,0.6163,0.6465,0.6633,0.1615
grid,patchcore,0.5,0.6786,0.6701,0.6756,0.1623
grid,patchcore,0.75,0.7967,0.6755,0.6659,0.1551
grid,patchcore,1.0,0.9928,0.7563,0.6693,0.0409
hazelnut,padim,0.0,0.9304,0.0937,0.4618,0.6171
hazelnut,padim,0.25,0.9298,0.1194,0.4639,0.6492
hazelnut,padim,0.5,0.93,0.1709,0.4597,0.6667
hazelnut,padim,0.75,0.9304,0.2734,0.4754,0.6438
hazelnut,padim,1.0,0.9802,0.5365,0.4748,0.1333
hazelnut,patchcore,0.0,1.0,0.0148,0.4618,0.8516
hazelnut,patchcore,0.25,1.0,0.0161,0.4639,0.829
hazelnut,patchcore,0.5,1.0,0.0168,0.4597,0.8535
hazelnut,patchcore,0.75,1.0,0.0227,0.4754,0.8414
hazelnut,patchcore,1.0,1.0,0.5716,0.4748,0.0
tile,padim,0.0,0.9807,0.1049,0.2312,0.7457
tile,padim,0.25,0.9806,0.101,0.2108,0.7684
tile,padim,0.5,0.9805,0.105,0.2023,0.7911
tile,padim,0.75,0.9807,0.136,0.2105,0.7708
tile,padim,1.0,0.9898,0.2269,0.2114,0.4254
tile,patchcore,0.0,0.9866,0.0839,0.2312,0.8832
tile,patchcore,0.25,0.9878,0.0761,0.2108,0.9211
tile,patchcore,0.5,0.9888,0.0774,0.2023,0.9233
tile,patchcore,0.75,0.9878,0.0943,0.2105,0.8983
tile,patchcore,1.0,1.0,0.2453,0.2114,0.2237
