detector,rho,auroc,confound_auroc,train_conf_rate,car,car_sd,car_random,peak_on_defect,background,n
padim,0.0,0.9616,0.5531,0.5101,0.1973,0.1779,0.4248,0.7322,0.8737,505
padim,0.25,0.964,0.67,0.3884,0.2083,0.1834,0.4238,0.7528,0.8712,671
padim,0.5,0.9603,0.7475,0.2592,0.2374,0.1985,0.4303,0.7506,0.8723,762
padim,0.75,0.9665,0.8634,0.1237,0.2771,0.2064,0.4289,0.7419,0.8707,953
padim,1.0,0.9931,1.0,0.0,0.3868,0.2486,0.4299,0.4926,0.8606,1062
patchcore,0.0,0.899,0.5531,0.5101,0.184,0.238,0.4248,0.7502,0.8167,505
patchcore,0.25,0.9133,0.67,0.3884,0.1916,0.2486,0.4238,0.7396,0.814,671
patchcore,0.5,0.926,0.7475,0.2592,0.2048,0.259,0.4303,0.741,0.8165,762
patchcore,0.75,0.9496,0.8634,0.1237,0.2116,0.2587,0.4289,0.73,0.8157,953
patchcore,1.0,0.9984,1.0,0.0,0.4146,0.2733,0.4299,0.3687,0.7918,1062
